name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,HBR_1,HBR_2,HBR_3,UHR_1,UHR_2,UHR_3
ENSG00000100321.14,ENSG00000100321,1098.7,1057,41.7,0.039,-4.7,4.4e-23,0.0e+00,0,0,1019,1085,1067,37,51,37
ENSG00000100167.19,ENSG00000100167,1078,1034.7,43.3,0.042,-4.6,5.4e-23,0.0e+00,0,0,997,1017,1090,39,41,50
ENSG00000225783.6,ENSG00000225783,756.7,711.3,45.3,0.063,-4,1.9e-21,0.0e+00,0,0,724,665,745,41,46,49
ENSG00000100095.18,ENSG00000100095,566.3,551.7,14.7,0.026,-5.3,3.0e-21,0.0e+00,0,0,534,553,568,10,15,19
ENSG00000128245.14,ENSG00000128245,1667.7,1424.7,243,0.17,-2.6,3.5e-21,0.0e+00,0,0,1378,1480,1416,233,235,261
ENSG00000008735.13,ENSG00000008735,590,578.3,11.7,0.019,-5.7,6.7e-21,0.0e+00,0,0,544,595,596,9,18,8
ENSG00000251322.7,ENSG00000251322,498.3,470.3,28,0.061,-4,1.6e-20,0.0e+00,0,0,479,483,449,29,25,30
ENSG00000130540.13,ENSG00000130540,372.7,368.7,4,0.011,-6.5,2.3e-20,0.0e+00,0,0,388,364,354,3,6,3
ENSG00000211679.2,ENSG00000211679,542.3,0,542.3,4344.079,12.1,2.7e-20,0.0e+00,0,0,0,0,0,555,521,551
ENSG00000100427.15,ENSG00000100427,386,375.7,10.3,0.027,-5.2,2.8e-20,0.0e+00,0,0,397,351,379,9,11,11
ENSG00000184702.17,ENSG00000184702,731.7,637.3,94.3,0.147,-2.8,7.9e-20,0.0e+00,0,0,609,661,642,91,98,94
ENSG00000185686.17,ENSG00000185686,528,0,528,4240.521,12.1,9.5e-20,0.0e+00,0,0,0,0,0,561,492,531
ENSG00000167074.14,ENSG00000167074,458,428,30,0.069,-3.9,1.2e-19,0.0e+00,0,0,445,419,420,30,35,25
ENSG00000100219.16,ENSG00000100219,793,95.3,697.7,7.304,2.9,2.1e-19,0.0e+00,0,0,87,104,95,743,675,675
ENSG00000100307.12,ENSG00000100307,397.3,375,22.3,0.059,-4.1,3.1e-19,0.0e+00,0,0,356,394,375,18,25,24
ENSG00000100316.15,ENSG00000100316,3529,863.3,2665.7,3.091,1.6,3.2e-19,0.0e+00,0,0,878,827,885,2762,2548,2687
ENSG00000128268.11,ENSG00000128268,366,346.7,19.3,0.058,-4.1,4.1e-19,0.0e+00,0,0,344,358,338,23,15,20
ENSG00000237517.8,ENSG00000237517,253,247,6,0.025,-5.3,4.9e-19,0.0e+00,0,0,254,247,240,6,6,6
ENSG00000211677.2,ENSG00000211677,658.7,0,658.7,5292.892,12.4,5.6e-19,0.0e+00,0,0,0,0,0,750,636,590
ENSG00000221890.2,ENSG00000221890,548.3,496.7,51.7,0.102,-3.3,5.8e-19,0.0e+00,0,0,520,485,485,48,63,44
ENSG00000183741.11,ENSG00000183741,1243.7,989,254.7,0.257,-2,6.8e-19,0.0e+00,0,0,987,954,1026,248,250,266
ENSG00000241973.10,ENSG00000241973,1621.7,1308,313.7,0.239,-2.1,1.2e-18,0.0e+00,0,0,1393,1249,1282,282,331,328
ENSG00000100345.20,ENSG00000100345,2370.7,577,1793.7,3.114,1.6,2.5e-18,0.0e+00,0,0,591,549,591,1835,1690,1856
ENSG00000128266.8,ENSG00000128266,313,291.3,21.7,0.076,-3.7,4.2e-18,0.0e+00,0,0,309,286,279,23,18,24
ENSG00000100285.9,ENSG00000100285,301.3,281,20.3,0.071,-3.8,8.4e-18,0.0e+00,0,0,260,281,302,18,24,19
ENSG00000167037.18,ENSG00000167037,198.7,194,4.7,0.025,-5.3,9.2e-18,0.0e+00,0,0,193,197,192,3,5,6
ENSG00000186732.13,ENSG00000186732,168.7,166.7,2,0.011,-6.5,1.1e-17,0.0e+00,0,0,163,167,170,1,2,3
ENSG00000225465.8,ENSG00000225465,213.3,211,2.3,0.013,-6.3,1.7e-17,0.0e+00,0,0,231,190,212,4,2,1
ENSG00000100097.11,ENSG00000100097,606.3,99,507.3,5.128,2.4,2.4e-17,0.0e+00,0,0,102,100,95,504,472,546
ENSG00000099901.16,ENSG00000099901,497.3,77.7,419.7,5.372,2.4,3.1e-17,0.0e+00,0,0,70,78,85,407,427,425
ENSG00000100346.17,ENSG00000100346,152.7,151.7,1,0.008,-6.9,6.1e-17,0.0e+00,0,0,140,149,166,1,2,0
ENSG00000280623.1,ENSG00000280623,149.3,0.3,149,279.164,8.1,6.2e-17,0.0e+00,0,0,0,0,1,134,155,158
ENSG00000075275.16,ENSG00000075275,159.3,0.7,158.7,171.787,7.4,8.0e-17,0.0e+00,0,0,0,2,0,167,141,168
ENSG00000100297.15,ENSG00000100297,393.3,37.7,355.7,9.497,3.2,1.3e-16,0.0e+00,0,0,37,34,42,370,305,392
ENSG00000219438.8,ENSG00000219438,195.7,182,13.7,0.076,-3.7,2.1e-16,0.0e+00,0,0,186,174,186,12,17,12
ENSG00000100241.20,ENSG00000100241,1249.7,889.7,360,0.405,-1.3,7.3e-16,0.0e+00,0,0,903,916,850,360,353,367
ENSG00000100353.17,ENSG00000100353,669,140.3,528.7,3.764,1.9,8.4e-16,0.0e+00,0,0,135,126,160,510,516,560
ENSG00000093009.9,ENSG00000093009,154,0,154,1230.018,10.3,1.1e-15,0.0e+00,0,0,0,0,0,152,157,153
